image_id,path,sha256,width,height,format,mode,file_size_bytes,blur_variance,mean_luma,dark_pixel_fraction,bright_pixel_fraction,noise_score,bytes_per_pixel,annotation_count,invalid_crop_count,regions,flags
00632,data/data_subset/subset_50_extracted/subset_50/00632.png,f736fd263cb1632630ea2fbaf2a36fa876888198a0762619d500cf21f3820241,1024,1024,PNG,RGB,1266682,306.25058,159.521637,0.014178,0.173265,4.648838,1.208002,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
01865,data/data_subset/subset_50_extracted/subset_50/01865.png,7504511e0fe97eed154add4accc1e2f7569cac2f672730a3ee60af750ecd562b,1024,1024,PNG,RGB,1379043,45.479126,128.025848,0.00197,0.000113,1.940895,1.315158,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
02260,data/data_subset/subset_50_extracted/subset_50/02260.png,4a5c53c61f103074d1a4ad3eff7a36d11cca3ce4a9de0206573aaa8bc1ac8b51,1024,1024,PNG,RGB,1693866,618.840454,88.841911,0.191941,1.5e-05,5.98602,1.615396,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
02913,data/data_subset/subset_50_extracted/subset_50/02913.png,806eeffee897962ea352b243c81671272bcbd2245ab03ea8b1959afac8a54c11,1024,1024,PNG,RGB,1456851,152.1819,125.901245,0.0,0.00023,3.258302,1.389361,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
04160,data/data_subset/subset_50_extracted/subset_50/04160.png,b40aa33e8f255475ef8d838d81fda3a5b7abf7cb655c6015dd46caa50fa6b0a1,1024,1024,PNG,RGB,1484668,130.44458,110.15361,0.03076,0.001331,3.252127,1.41589,10,0,comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
07451,data/data_subset/subset_50_extracted/subset_50/07451.png,e112405d7f62bf83d26d99bec3642a67e038d2fe52a30a7cd4f985688b52041b,1024,1024,PNG,RGB,1430722,157.148911,103.12484,0.101433,0.06215,3.632142,1.364443,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
07864,data/data_subset/subset_50_extracted/subset_50/07864.png,eac1091bde60a422f337f92593c5d71858a5b4a4f3c81cd6147630220e6818e1,1024,1024,PNG,RGB,1666979,514.608887,116.514305,0.054982,0.020004,6.223624,1.589755,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
08330,data/data_subset/subset_50_extracted/subset_50/08330.png,a8e3f58b8a9aaee89c68e6a621063d6c70c08b4f43c7390888f35fc771bbfa10,1024,1024,PNG,RGB,1457227,105.806961,147.22876,0.000165,0.002391,2.708564,1.38972,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
09501,data/data_subset/subset_50_extracted/subset_50/09501.png,f38cc36ecade10ccea7dd35a9c57ef750ab1ecf8c214df567d4e4449873ce27a,1024,1024,PNG,RGB,1139164,86.676979,140.11615,0.050886,0.105445,2.694292,1.086391,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
09632,data/data_subset/subset_50_extracted/subset_50/09632.png,d2dc5808b1ef6912dbd6bbbd58e72b133ad7e61bc7150d11597828717e0e2830,1024,1024,PNG,RGB,1330887,31.701038,156.051804,0.006504,0.04121,1.5902,1.269233,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
11115,data/data_subset/subset_50_extracted/subset_50/11115.png,0648ccf9d588fd7fb30f0c5777f83b845623b15c3b9751eede0c7a3dd78ccd47,1024,1024,PNG,RGB,1428010,107.326996,119.986938,0.050953,0.01089,3.039403,1.361856,8,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
11118,data/data_subset/subset_50_extracted/subset_50/11118.png,a4c4566ef21e9bf472eeb04fd7df6d759aad57a7a6cb710d1b07f79a7b5548ca,1024,1024,PNG,RGB,1642960,124.301498,127.840942,0.017937,0.076744,3.296594,1.566849,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
12255,data/data_subset/subset_50_extracted/subset_50/12255.png,fa83fc4ad32863892e5a7a81fc95788ef4177fea18d5feb011f808550a1b3ad0,1024,1024,PNG,RGB,1301701,74.033669,140.913574,0.00139,0.000319,2.49459,1.241399,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
12358,data/data_subset/subset_50_extracted/subset_50/12358.png,09b9cc8da2dab2f8caf60db039aef4c50004e25a04eaa039c69464c077dd0e67,1024,1024,PNG,RGB,972394,72.085396,169.832245,0.057013,0.2541,2.411807,0.927347,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
12733,data/data_subset/subset_50_extracted/subset_50/12733.png,ee4eea83dd3fc610461a27655e6018f232b210782a888bc26cd9cad081e1dcd8,1024,1024,PNG,RGB,1492698,97.868851,147.160233,0.0,0.057819,2.767398,1.423548,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|surcos_nasogenianos,
12736,data/data_subset/subset_50_extracted/subset_50/12736.png,6a5440cff7315f0233be26de144baad75a4ac2647e0488d7232fa39092bc25e7,1024,1024,PNG,RGB,1101339,156.757446,147.848969,0.155122,0.296232,3.561922,1.050319,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
13118,data/data_subset/subset_50_extracted/subset_50/13118.png,e599a5f09cabec666185458c8b31557abbbc3a087146b1a319004db601b593e6,1024,1024,PNG,RGB,1281383,95.93737,144.73201,0.000908,3.9e-05,2.513129,1.222022,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
14747,data/data_subset/subset_50_extracted/subset_50/14747.png,65d9a6cf1f69cd76349466bf4632e19d94ed3759777c42af7584ef8f28a289c8,1024,1024,PNG,RGB,1442627,110.824295,107.345932,0.013973,0.031842,3.021813,1.375796,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
15429,data/data_subset/subset_50_extracted/subset_50/15429.png,bca3c3cf19ac5f779b442c84a0f56672372d14d27a131c988a35f1dfb2e65271,1024,1024,PNG,RGB,1474476,205.588089,107.990227,0.035719,0.029093,4.145068,1.40617,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
15506,data/data_subset/subset_50_extracted/subset_50/15506.png,2e3ac4247fb394597048dc4c50d6b14853e2c313e66240ec3dcf7a2272a2118e,1024,1024,PNG,RGB,1532038,143.125824,109.059311,0.051869,0.000121,3.505784,1.461065,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
15738,data/data_subset/subset_50_extracted/subset_50/15738.png,a378e80591ba54f8c9b5f78cb35febd171b3a84c59db3b6781f550c49163cb9b,1024,1024,PNG,RGB,1378243,80.19976,103.475121,0.013235,1.5e-05,2.614661,1.314395,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
16056,data/data_subset/subset_50_extracted/subset_50/16056.png,44ba4422a800ca6928d5ff4bfba6e775af64b7b000c777c601f5e75013dc8fce,1024,1024,PNG,RGB,1338106,86.896515,55.535133,0.310972,3.2e-05,2.437739,1.276117,8,0,comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
16241,data/data_subset/subset_50_extracted/subset_50/16241.png,01f51cab70171e7df4ffb23b5ff7f95020d23022f6eec9a411af9f45baf48262,1024,1024,PNG,RGB,1296355,188.74675,145.998322,3e-06,0.04898,3.661786,1.2363,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
16427,data/data_subset/subset_50_extracted/subset_50/16427.png,4b7f54b4061a046781205f3604c908017ff07b7fd4979064383b2fbfa0555149,1024,1024,PNG,RGB,1400508,75.501366,100.617119,0.017583,6.1e-05,2.488854,1.335629,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
